SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
524400,ISHITA DRUGS,X ,Q,18.60,18.60,18.60,18.60,18.60,18.50,2,50,930.00,
524404,MARKSANS    ,B ,Q,15.10,15.30,13.55,14.20,14.20,15.15,427,63183,920109.00,
524408,UNIV.STARCH ,XT,Q,36.15,36.15,36.10,36.10,36.10,38.00,5,250,9030.00,
524412,AAREY DRUGS ,X ,Q,12.55,15.15,12.55,14.55,14.05,13.20,232,28711,401952.00,
524440,CAMEX LTD   ,X ,Q,24.00,24.00,24.00,24.00,24.00,23.00,4,50,1200.00,
524444,KAVITIND    ,X ,Q,48.90,51.80,47.70,48.95,48.95,48.75,87,78921,3866751.00,
524470,SYNCOM FORM.,X ,Q,0.80,0.82,0.76,0.78,0.78,0.82,169,325172,255873.00,
524480,RIDHI SIDHI ,X ,Q,246.00,246.00,234.00,234.05,234.00,247.80,21,441,104203.00,
524488,SVCIND      ,XT,Q,1.80,1.84,1.76,1.84,1.84,1.76,11,8329,15189.00,
524494,IPCA LAB LTD,A ,Q,969.00,969.90,932.90,937.60,941.25,966.85,394,4232,4009517.00,
524500,KILITCH DRUG,B ,Q,101.80,105.00,100.60,101.65,103.00,103.95,31,898,91584.00,
524506,CORAL LAB.  ,X ,Q,168.70,175.15,166.55,166.65,166.55,168.95,13,405,68083.00,
524518,KREBS BIOCHM,B ,Q,77.00,77.00,76.05,76.05,76.05,76.00,3,51,3879.00,
524520,KMC SHIL    ,X ,Q,11.49,11.49,10.60,11.10,11.10,11.10,72,13838,154817.00,
524522,LAFFANS PETR,X ,Q,11.64,11.64,11.64,11.64,11.64,12.25,1,10,116.00,
524542,SUKJIT STRCH,X ,Q,196.00,199.95,190.80,192.70,190.80,194.85,33,1053,203170.00,
524558,NEULAND LAB.,B ,Q,503.50,504.00,494.65,496.20,495.60,500.80,48,534,267126.00,
524570,PODDAR PIGM.,B ,Q,151.00,158.00,150.00,150.30,150.00,151.15,20,1315,201126.00,
524576,VIVID IND   ,X ,Q,21.75,21.75,18.10,18.70,19.50,21.00,41,3658,71143.00,
524580,PRIYA LTD.  ,X ,Q,16.65,16.65,16.65,16.65,16.65,15.86,1,1,16.00,
524594,ASHOK-ALCO  ,X ,Q,22.45,22.45,20.00,20.85,20.85,21.80,56,4459,92274.00,
524598,AKSHARCHEM I,B ,Q,205.00,205.00,192.70,192.70,192.70,200.70,39,493,98422.00,
524606,BERYL DRUGS ,X ,Q,5.00,5.00,4.75,4.75,4.75,5.00,2,510,2425.00,
524614,INDXTRA     ,XT,Q,5.12,5.12,5.12,5.12,5.12,5.38,2,1500,7680.00,
524622,ISTRNETWK   ,XT,Q,2.02,2.02,2.02,2.02,2.02,2.06,2,10,20.00,
524634,ALU FLUORIDE,X ,Q,102.00,102.00,96.20,98.55,98.00,100.10,94,2341,232314.00,
524640,ARCHITORG   ,X ,Q,10.95,10.97,10.25,10.28,10.25,10.45,14,2849,30831.00,
524648,INDO AMINES ,X ,Q,60.00,60.85,54.00,56.05,56.05,61.75,73,9869,569526.00,
524652,IND.SWIFT LT,B ,Q,4.00,4.13,4.00,4.03,4.03,3.76,9,3446,13907.00,
524654,NATURAL CAPS,X ,Q,54.00,54.00,51.30,51.30,51.30,54.00,4,500,25763.00,
524663,BH.IMMUN&BIO,B ,Q,6.10,6.30,5.75,5.78,5.78,6.21,57,18201,106946.00,
524667,SOTL        ,B ,Q,882.65,890.55,882.00,890.55,890.55,898.95,4,265,233759.00,
524669,HESTER BISC ,B ,Q,1665.00,1665.00,1616.95,1620.25,1625.00,1669.60,77,551,900287.00,
524675,KABSONS INDU,XT,Q,3.35,3.35,3.35,3.35,3.35,3.35,1,2,6.00,
524687,BASANT AGRO ,X ,Q,3.24,3.24,2.83,2.93,2.92,3.24,52,50634,150334.00,
524703,SANDU PHARMA,X ,Q,15.20,15.20,15.20,15.20,15.20,14.30,1,20,304.00,
524709,NACLIND     ,B ,Q,27.40,27.75,26.50,26.60,26.95,27.05,80,110884,3047391.00,
524711,VISTA PHARMA,XT,Q,9.00,9.00,8.56,8.76,8.95,9.00,19,13589,120462.00,
524715,SUN PHARMA. ,A ,Q,421.00,425.65,413.90,417.30,417.30,420.80,4905,352744,147724600.00,
524717,TITAN BIOTEC,X ,Q,38.00,38.20,36.05,36.75,36.15,38.15,55,14701,544671.00,
524727,SDL         ,X ,Q,27.85,27.85,27.85,27.85,27.85,27.90,1,410,11418.00,
524731,JENBURKT PH.,X ,Q,455.00,460.00,440.10,444.40,440.10,451.90,21,606,272936.00,
524735,HIKAL LTD.  ,B ,Q,151.60,152.55,144.60,146.90,147.75,152.85,671,27208,4081017.00,
524742,CAPLIN POINT,B ,Q,422.00,423.40,393.00,404.10,404.10,421.55,503,5839,2377243.00,
524758,WINTAC LTD  ,X ,Q,165.00,170.10,165.00,170.10,170.10,175.00,8,20,3350.00,
524764,NUTRA       ,X ,Q,8.97,8.98,8.29,8.29,8.29,8.72,43,12605,104925.00,
524768,EMMESSAR BIO,X ,Q,12.60,12.60,12.60,12.60,12.60,12.01,4,235,2961.00,
524774,NGL FINE CHM,XT,Q,490.00,495.30,485.00,486.15,485.00,495.00,41,2424,1186905.00,
524790,EVEREST ORG.,X ,Q,187.40,214.95,175.15,214.95,214.95,179.15,314,49664,10207079.00,
524804,AUROB.PHARMA,A ,Q,600.50,601.25,587.50,589.60,588.70,600.50,920,43587,25895291.00,
524808,PHYTOCHEM I.,X ,Q,24.00,26.50,24.00,26.25,26.50,24.70,3,51,1336.00,
524816,NATCO PHARM ,A ,Q,552.45,553.00,538.50,539.90,539.15,548.15,166,1574,852283.00,
524818,DYNAMIC IND.,X ,Q,55.40,55.40,52.10,52.30,52.10,53.55,10,1178,61984.00,
524820,PANAMA PETRO,B ,Q,68.55,68.55,65.30,67.20,67.65,65.95,23,482,32172.00,
524824,BAL PHARMA  ,B ,Q,37.80,38.50,33.10,36.00,35.25,38.65,102,5265,190188.00,
524828,BDH INDUS.  ,XT,Q,66.15,68.00,66.15,66.50,66.50,68.95,9,1146,76796.00,
526001,JAUS POLYMER,X ,Q,8.24,8.24,8.24,8.24,8.24,8.67,3,61,502.00,
526027,CUBEX TUBING,B ,Q,10.55,10.55,10.08,10.40,10.40,11.20,19,510,5205.00,
526043,POLYMECH.MCH,X ,Q,23.20,24.40,23.20,24.40,24.40,24.40,3,325,7567.00,
526073,GALAXY BEAR.,XT,Q,139.05,139.05,139.05,139.05,139.05,146.35,3,179,24889.00,
526093,SATVAH.ISPAT,T ,Q,8.48,8.49,8.48,8.49,8.49,8.09,7,2527,21445.00,
526117,SHERVANI IND,X ,Q,544.80,544.80,480.00,488.40,489.45,522.95,108,769,379164.00,
526137,SHETRON LTD ,X ,Q,22.25,22.25,21.00,21.50,21.50,20.40,6,1004,21517.00,
526139,TRANSGENE BI,XT,Q,2.58,2.80,2.57,2.63,2.63,2.70,24,8750,22691.00,
526143,MPL         ,XT,Q,4.80,5.00,4.75,4.75,4.75,5.00,11,7650,37715.00,
526169,MULTIBASE I ,X ,Q,129.35,135.00,127.65,128.15,128.15,129.35,76,3930,519962.00,
526173,ANDREW YULE ,B ,Q,11.90,11.97,11.46,11.53,11.53,12.10,107,19912,233733.00,
526179,LUDOLOW JUTE,X ,Q,49.00,51.80,42.00,45.25,45.45,49.95,101,9876,446943.00,
526195,NEOGEM INDIA,XT,Q,2.91,2.91,2.91,2.91,2.91,2.78,1,3000,8730.00,
526217,HITECHCORP  ,B ,Q,74.50,75.35,74.50,75.35,75.35,77.50,2,12,895.00,
526227,FILATEX INDI,B ,Q,37.70,38.45,36.60,37.35,37.35,37.05,56,4619,172857.00,
